id,name,gender,mobile,mail
__export__.rw_headhunter_personnel_1,ÓÚÁÁ,Male,13950304924,weiyu@liao.cn
__export__.rw_headhunter_personnel_2,²ı½à,Female,13159994914,huna@hotmail.com
__export__.rw_headhunter_personnel_3,ÎÅÁú,Male,15595838849,fengli@yahoo.com
__export__.rw_headhunter_personnel_4,Û­Æ½,Male,15952694080,xiulan96@shen.com
__export__.rw_headhunter_personnel_5,×¯¶«,Male,13215078596,qinping@hao.com
__export__.rw_headhunter_personnel_6,ÕÂºìÃ·,Female,15233256679,nawang@du.com
__export__.rw_headhunter_personnel_7,Ì·Ñî,Male,14769013896,wangming@gmail.com
__export__.rw_headhunter_personnel_8,ãÚ¹ğ·¼,Female,18629147166,qiang68@yahoo.com
__export__.rw_headhunter_personnel_9,¸ğÓñÓ¢,Female,13301186146,ssu@luo.net
__export__.rw_headhunter_personnel_10,ÄÁ¾ü,Male,18809783400,bhao@du.com
__export__.rw_headhunter_personnel_11,åµ½Ü,Male,15830946455,yan74@yahoo.com
__export__.rw_headhunter_personnel_12,Ã×³¬,Male,15027696878,yantang@yahoo.com
__export__.rw_headhunter_personnel_13,±åĞãÀ¼,Female,15365416038,tao16@yahoo.com
__export__.rw_headhunter_personnel_14,Òü¾ê,Female,13148037378,qiangbai@gmail.com
__export__.rw_headhunter_personnel_15,Ù¹·É,Male,13743022805,wei15@han.com
__export__.rw_headhunter_personnel_16,ÁÖè¤,Male,18804330782,chao68@fu.com
__export__.rw_headhunter_personnel_17,±«·«,Male,13562100826,scheng@gmail.com
__export__.rw_headhunter_personnel_18,±«Óñ»ª,Female,13161568507,cxiang@hotmail.com
__export__.rw_headhunter_personnel_19,ÖìÑà,Female,13048312923,weidong@gmail.com
__export__.rw_headhunter_personnel_20,Æ¤±ò,Male,15530096857,yanggao@gmail.com
__export__.rw_headhunter_personnel_21,ºìöÎ,Male,13987818264,vtian@yang.com
__export__.rw_headhunter_personnel_22,µóÀÚ,Male,18254721223,czhao@yahoo.com
__export__.rw_headhunter_personnel_23,µË±ø,Male,18204437206,xiuyingye@xiong.net
__export__.rw_headhunter_personnel_24,Â½Ñ©Ã·,Female,18664781647,mingdu@gmail.com
__export__.rw_headhunter_personnel_25,²½½¨»ª,Male,13815160923,zfu@huang.com
__export__.rw_headhunter_personnel_26,È´¼Ñ,Male,13266580112,yuxiulan@yahoo.com
__export__.rw_headhunter_personnel_27,åÖ·ïÓ¢,Female,15882215974,jinxiulan@zhang.cn
__export__.rw_headhunter_personnel_28,Á»Ã÷,Male,15529969891,imao@gmail.com
__export__.rw_headhunter_personnel_29,ÕşÓñÀ¼,Female,13454204752,li55@zhou.cn
__export__.rw_headhunter_personnel_30,ÇğÓ±,Female,18231338695,kyin@gmail.com
__export__.rw_headhunter_personnel_31,ÀèÑô,Male,13596683892,ylong@shen.cn
__export__.rw_headhunter_personnel_32,ÕşÀö¾ê,Female,13311468956,fhan@li.cn
__export__.rw_headhunter_personnel_33,¸Êºì,Female,18923768729,chenjie@yahoo.com
__export__.rw_headhunter_personnel_34,°ÙöÎ,Male,18975214725,pingtang@gmail.com
__export__.rw_headhunter_personnel_35,Á»Óñ,Male,15891117922,yangcui@ding.com
__export__.rw_headhunter_personnel_36,Ç®½¨Æ½,Male,14515834480,xiuying21@yahoo.com
__export__.rw_headhunter_personnel_37,ØÁ³©,Male,15576086674,houmin@dong.net
__export__.rw_headhunter_personnel_38,ËïÀö»ª,Female,18147033576,guiyinglin@han.cn
__export__.rw_headhunter_personnel_39,¾°Ğã·¼,Female,15724250229,jmao@kang.cn
__export__.rw_headhunter_personnel_40,ÖÓÁá,Female,13857715709,zfang@gmail.com
__export__.rw_headhunter_personnel_41,¿ïÁø,Male,13945907302,ligong@yahoo.com
__export__.rw_headhunter_personnel_42,×ÓĞãÓ¢,Female,18706611421,xia96@jin.com
__export__.rw_headhunter_personnel_43,×¯À×,Male,15682449886,juan42@zeng.cn
__export__.rw_headhunter_personnel_44,±«Ï¼,Male,15687008650,panjun@lei.net
__export__.rw_headhunter_personnel_45,²ÌÈğ,Male,13054503045,xiulanshao@hotmail.com
__export__.rw_headhunter_personnel_46,Õ¿Ñ©,Female,18554461108,wangjie@yi.com
__export__.rw_headhunter_personnel_47,ÑÏÓñÕä,Male,14571818750,jingduan@gmail.com
__export__.rw_headhunter_personnel_48,Ï¯¾²,Female,13484601176,yongwei@zeng.com
__export__.rw_headhunter_personnel_49,ÄÏÀÚ,Male,13452081862,iliao@gmail.com
__export__.rw_headhunter_personnel_50,¶õÓñ,Male,15781456818,yonghuang@shi.cn
__export__.rw_headhunter_personnel_51,Êå·ïÓ¢,Female,14764661022,qiang42@su.com
__export__.rw_headhunter_personnel_52,Ë¾ÓñÃ·,Male,18704170507,yaoxiulan@yahoo.com
__export__.rw_headhunter_personnel_53,Ë¾Àö»ª,Female,18888165264,jiaguiying@gmail.com
__export__.rw_headhunter_personnel_54,¶Î·«,Male,13214093542,fang49@zou.net
__export__.rw_headhunter_personnel_55,Îºè¤,Male,13661844143,xiaqian@wang.com
__export__.rw_headhunter_personnel_56,ÅÓ¹ğÕä,Female,15953940565,ming19@yahoo.com
